"學年度","項目","公立大學及獨立學院","私立大學及獨立學院","公立專科學校","私立專科學校"
112,中文圖書收藏冊數(冊)-總類,2619756,1824191,8082,29141
112,中文圖書收藏冊數(冊)-哲學類,1062487,1593237,14870,90511
112,中文圖書收藏冊數(冊)-宗教類,500328,776533,4055,33110
112,中文圖書收藏冊數(冊)-科學類,1281739,2169952,14946,87591
112,中文圖書收藏冊數(冊)-應用科學類,2661231,5053148,49947,282074
112,中文圖書收藏冊數(冊)-社會科學類,4216039,4628535,26006,155872
112,中文圖書收藏冊數(冊)-史地類,2327302,2283065,16810,80687
112,中文圖書收藏冊數(冊)-語言文學類,3797937,5125940,41075,277677
112,中文圖書收藏冊數(冊)-藝術類,1397543,1872040,13335,63809
112,外文圖書收藏冊數(冊),8595188,7177441,9876,146325
112,電子書(種),35998639,54792827,21505,475590
112,圖書閱覽座位數(個),52782,71278,479,3895
112,圖書借閱人次(人次),1232971,1297083,5122,51243
112,圖書借閱冊數(冊),4042907,3140639,8771,143268
112,線上及光碟資料庫檢索人次(人次),101475559,63252881,193124,3580161
